1, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
2, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
3, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
4, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
5, plains, minecraft:plains, MONSTER, mythicmounts:dragon, 80, 1, 1
6, plains, minecraft:plains, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
7, plains, minecraft:plains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
8, plains, minecraft:plains, MONSTER, graveyard:nightmare, 10, 1, 1
9, plains, minecraft:plains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
10, plains, minecraft:plains, AMBIENT, mythicmounts:firebird, 5, 1, 1
11, private, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
12, private, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
13, private, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
14, private, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
15, private, minecraft:sunflower_plains, MONSTER, mythicmounts:dragon, 80, 1, 1
16, private, minecraft:sunflower_plains, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
17, private, minecraft:sunflower_plains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
18, private, minecraft:sunflower_plains, MONSTER, graveyard:nightmare, 10, 1, 1
19, private, minecraft:sunflower_plains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
20, private, minecraft:sunflower_plains, AMBIENT, mythicmounts:firebird, 5, 1, 1
21, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
22, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
23, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
24, icy, minecraft:snowy_plains, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
25, icy, minecraft:snowy_plains, MONSTER, mythicmounts:dragon, 80, 1, 1
26, icy, minecraft:snowy_plains, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
27, icy, minecraft:snowy_plains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
28, icy, minecraft:snowy_plains, MONSTER, graveyard:nightmare, 10, 1, 1
29, icy, minecraft:snowy_plains, MONSTER, graveyard:revenant, 25, 5, 8
30, icy, minecraft:snowy_plains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
31, icy, minecraft:snowy_plains, AMBIENT, mythicmounts:firebird, 5, 1, 1
32, private, minecraft:ice_spikes, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
33, private, minecraft:ice_spikes, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
34, private, minecraft:ice_spikes, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
35, private, minecraft:ice_spikes, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
36, private, minecraft:ice_spikes, MONSTER, mythicmounts:dragon, 80, 1, 1
37, private, minecraft:ice_spikes, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
38, private, minecraft:ice_spikes, MONSTER, uselessreptile:moleclaw, 80, 1, 1
39, private, minecraft:ice_spikes, MONSTER, graveyard:revenant, 25, 5, 8
40, private, minecraft:ice_spikes, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
41, private, minecraft:ice_spikes, AMBIENT, mythicmounts:firebird, 5, 1, 1
42, desert, minecraft:desert, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
43, desert, minecraft:desert, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
44, desert, minecraft:desert, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
45, desert, minecraft:desert, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
46, desert, minecraft:desert, MONSTER, mythicmounts:dragon, 80, 1, 1
47, desert, minecraft:desert, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
48, desert, minecraft:desert, MONSTER, uselessreptile:moleclaw, 80, 1, 1
49, desert, minecraft:desert, MONSTER, graveyard:nightmare, 10, 1, 1
50, desert, minecraft:desert, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
51, desert, minecraft:desert, CREATURE, mythicmounts:ridinglizard, 5, 2, 3
52, desert, minecraft:desert, AMBIENT, mythicmounts:firebird, 5, 1, 1
53, swamp, minecraft:swamp, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
54, swamp, minecraft:swamp, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
55, swamp, minecraft:swamp, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
56, swamp, minecraft:swamp, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
57, swamp, minecraft:swamp, MONSTER, mythicmounts:dragon, 80, 1, 1
58, swamp, minecraft:swamp, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
59, swamp, minecraft:swamp, MONSTER, graveyard:ghoul, 25, 2, 5
60, swamp, minecraft:swamp, MONSTER, uselessreptile:moleclaw, 80, 1, 1
61, swamp, minecraft:swamp, MONSTER, graveyard:nightmare, 10, 1, 1
62, swamp, minecraft:swamp, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
63, swamp, minecraft:swamp, CREATURE, uselessreptile:wyvern, 5, 1, 1
64, swamp, minecraft:swamp, AMBIENT, mythicmounts:firebird, 5, 1, 1
65, private, minecraft:mangrove_swamp, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
66, private, minecraft:mangrove_swamp, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
67, private, minecraft:mangrove_swamp, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
68, private, minecraft:mangrove_swamp, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
69, private, minecraft:mangrove_swamp, MONSTER, mythicmounts:dragon, 80, 1, 1
70, private, minecraft:mangrove_swamp, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
71, private, minecraft:mangrove_swamp, MONSTER, graveyard:ghoul, 25, 2, 5
72, private, minecraft:mangrove_swamp, MONSTER, uselessreptile:moleclaw, 80, 1, 1
73, private, minecraft:mangrove_swamp, MONSTER, graveyard:nightmare, 10, 1, 1
74, private, minecraft:mangrove_swamp, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
75, private, minecraft:mangrove_swamp, AMBIENT, mythicmounts:firebird, 5, 1, 1
76, forest, minecraft:forest, MONSTER, soulsweapons:big_chungus, 20, 4, 8
77, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
78, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
79, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
80, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
81, forest, minecraft:forest, MONSTER, direbats:direbat, 36, 1, 3
82, forest, minecraft:forest, MONSTER, mythicmounts:dragon, 80, 1, 1
83, forest, minecraft:forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
84, forest, minecraft:forest, MONSTER, graveyard:ghoul, 25, 2, 5
85, forest, minecraft:forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
86, forest, minecraft:forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
87, forest, minecraft:forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
88, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
89, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
90, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
91, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
92, forest, minecraft:flower_forest, MONSTER, direbats:direbat, 36, 1, 3
93, forest, minecraft:flower_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
94, forest, minecraft:flower_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
95, forest, minecraft:flower_forest, MONSTER, graveyard:ghoul, 25, 2, 5
96, forest, minecraft:flower_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
97, forest, minecraft:flower_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
98, forest, minecraft:flower_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
99, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
100, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
101, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
102, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
103, forest, minecraft:birch_forest, MONSTER, direbats:direbat, 36, 1, 3
104, forest, minecraft:birch_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
105, forest, minecraft:birch_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
106, forest, minecraft:birch_forest, MONSTER, graveyard:ghoul, 25, 2, 5
107, forest, minecraft:birch_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
108, forest, minecraft:birch_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
109, forest, minecraft:birch_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
110, forest, minecraft:dark_forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
111, forest, minecraft:dark_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
112, forest, minecraft:dark_forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
113, forest, minecraft:dark_forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
114, forest, minecraft:dark_forest, MONSTER, direbats:direbat, 36, 1, 3
115, forest, minecraft:dark_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
116, forest, minecraft:dark_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
117, forest, minecraft:dark_forest, MONSTER, graveyard:ghoul, 25, 2, 5
118, forest, minecraft:dark_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
119, forest, minecraft:dark_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
120, forest, minecraft:dark_forest, CREATURE, mythicmounts:moth, 10, 1, 1
121, forest, minecraft:dark_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
122, forest, minecraft:old_growth_birch_forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
123, forest, minecraft:old_growth_birch_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
124, forest, minecraft:old_growth_birch_forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
125, forest, minecraft:old_growth_birch_forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
126, forest, minecraft:old_growth_birch_forest, MONSTER, direbats:direbat, 36, 1, 3
127, forest, minecraft:old_growth_birch_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
